 no_of_dependents, self_employed, income_annum, loan_amount, loan_term, cibil_score, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
4,1,1400000,5100000,14,312,1000000,3200000,1400000,1
3,1,4700000,12800000,16,740,8600000,11700000,6100000,0
5,1,7600000,20000000,10,522,1400000,20400000,4300000,1
4,0,7200000,16900000,4,702,7100000,22000000,9600000,0
4,1,1400000,4300000,16,447,1200000,5300000,1000000,1
5,0,1400000,2900000,4,829,600000,5400000,1600000,0
2,0,7900000,18500000,18,727,12400000,19600000,7100000,0
5,1,7600000,18700000,14,509,8500000,22200000,3700000,1
3,1,9600000,34200000,2,745,2000000,33000000,6700000,0
1,0,2300000,6600000,18,513,900000,9000000,1600000,1
2,0,8100000,18500000,6,372,10200000,31000000,7900000,1
2,1,300000,700000,4,411,0,1200000,100000,1
4,0,4700000,10800000,20,495,6800000,17000000,4500000,1
5,0,1100000,2500000,4,827,1000000,4100000,600000,0
4,0,8600000,25100000,6,820,5000000,26000000,8300000,0
5,1,8700000,28100000,10,660,800000,25900000,10100000,0
0,0,2200000,8600000,4,563,1000000,4400000,2800000,0
1,1,500000,1400000,10,883,0,1700000,300000,0
0,1,9100000,22000000,12,387,15600000,31700000,7000000,1
1,0,2200000,8700000,12,613,1800000,5700000,2400000,0
0,1,2200000,8000000,14,335,3700000,6900000,2900000,1
1,1,9600000,34500000,2,795,900000,32000000,9300000,0
1,1,6500000,13900000,8,369,300000,17200000,8300000,1
4,1,2400000,7400000,18,888,1600000,7600000,3200000,0
4,0,5500000,12300000,6,742,2700000,19800000,4300000,0
0,0,5000000,14400000,4,874,9300000,14100000,3900000,0
1,0,2700000,8100000,16,691,3600000,8100000,2100000,0
3,1,8500000,30300000,12,762,3700000,20000000,4200000,0
1,0,4400000,10700000,18,324,3300000,12700000,5400000,1
4,0,500000,1800000,20,777,300000,1300000,200000,0
0,0,8300000,21400000,2,662,12300000,24500000,10200000,0
2,1,6000000,13000000,12,462,2500000,14600000,5600000,1
3,1,4000000,10400000,14,609,6900000,11700000,4600000,0
5,1,4400000,11700000,20,590,2700000,15500000,2300000,0
3,1,4400000,15800000,18,779,5400000,14900000,3600000,0
2,1,1900000,5000000,14,641,900000,5500000,2400000,0
0,1,5000000,18400000,12,752,4000000,10500000,6500000,0
0,0,8000000,23700000,10,305,11600000,17200000,12000000,1
4,0,8200000,20700000,10,546,7000000,25000000,10600000,1
2,0,7000000,24200000,8,833,4100000,26100000,9100000,0
2,0,2400000,8800000,18,421,1500000,6700000,1400000,1
5,0,6600000,18800000,4,639,1100000,25100000,4300000,0
3,0,3200000,6900000,20,735,3700000,9200000,3100000,0
0,1,2600000,5400000,2,377,4900000,6100000,2700000,1
3,0,6900000,15600000,20,310,3600000,20400000,4800000,1
4,0,4800000,14000000,2,695,1700000,15400000,4600000,0
1,1,300000,1200000,4,355,300000,800000,200000,0
1,1,4300000,14100000,12,525,1100000,14100000,5500000,1
5,0,700000,2400000,20,330,700000,2500000,500000,1
5,0,9400000,25800000,14,625,15400000,30800000,11100000,0
3,1,800000,2900000,10,644,500000,2900000,400000,0
5,0,4400000,14900000,4,865,6200000,14900000,3500000,0
1,1,4700000,14800000,6,661,6000000,13600000,6400000,0
2,0,2300000,5000000,8,884,1700000,6100000,1500000,0
5,1,8500000,26700000,10,803,16600000,24400000,9600000,0
2,0,7600000,28300000,12,800,14800000,15600000,7800000,0
2,0,3200000,12600000,18,796,3500000,9600000,2000000,0
4,0,2400000,5000000,4,716,2800000,6900000,1400000,0
0,1,500000,1100000,18,479,500000,1800000,600000,1
3,1,8500000,28300000,2,810,4300000,18500000,10700000,0
0,1,8900000,20900000,18,568,700000,32700000,5300000,0
0,0,2800000,5600000,8,842,1300000,6100000,1900000,0
3,1,2900000,7000000,4,806,5600000,5900000,3000000,0
1,1,4900000,17700000,8,722,7300000,16400000,3000000,0
5,0,9600000,20700000,14,442,9800000,31800000,8200000,1
3,1,3300000,9800000,6,360,600000,11000000,4400000,1
3,0,2800000,5900000,4,461,400000,8900000,2800000,1
2,0,7800000,22200000,10,735,4600000,23000000,6900000,0
4,1,2500000,8400000,12,761,1300000,8400000,1600000,0
0,0,4400000,10600000,20,653,4600000,16800000,5400000,0
0,0,7900000,30800000,4,726,14600000,23800000,5500000,0
1,0,8900000,22600000,18,617,15500000,27900000,11700000,0
0,0,5600000,13400000,2,460,4100000,14800000,4100000,1
1,0,1400000,3300000,8,306,800000,2700000,800000,1
5,1,500000,1400000,4,471,100000,1300000,300000,1
1,1,5100000,15300000,4,628,3300000,17600000,2700000,0
3,0,9800000,25600000,10,404,6700000,37000000,11500000,1
2,1,8600000,21600000,16,804,300000,26800000,7100000,0
3,0,1600000,3900000,20,804,2500000,3200000,800000,0
1,1,2500000,6700000,2,502,2600000,9400000,1400000,1
0,0,9500000,22600000,6,861,13200000,29000000,5600000,0
2,1,3000000,7800000,14,555,2700000,9600000,1700000,0
0,0,5100000,13600000,18,351,3700000,14400000,7600000,1
2,1,7600000,23600000,6,358,2900000,22100000,10900000,1
5,0,8800000,18800000,14,836,10100000,32700000,5400000,0
4,1,1100000,2900000,4,554,1000000,4100000,1600000,0
3,0,8700000,30500000,2,443,1800000,24600000,8100000,0
5,0,6100000,23600000,4,725,5100000,15600000,4800000,0
2,1,1900000,7000000,14,818,3500000,4500000,2100000,0
1,0,9900000,38700000,6,670,12600000,35800000,6500000,0
0,0,5800000,21100000,6,414,2400000,16000000,5600000,1
2,1,9500000,37000000,8,887,18300000,19200000,11700000,0
3,1,7900000,26600000,12,409,1400000,22500000,8700000,1
1,1,1300000,4500000,14,679,2100000,3700000,1600000,0
4,1,700000,2600000,18,478,600000,2100000,300000,1
3,0,600000,1200000,2,752,500000,2300000,700000,0
0,0,9400000,33000000,4,616,5000000,25100000,7800000,0
2,1,3800000,12500000,14,842,6700000,14600000,5300000,0
3,1,7800000,26300000,20,840,11300000,24100000,5300000,0
3,1,7800000,27700000,6,430,8000000,26100000,5300000,1
4,0,2700000,7000000,4,351,2300000,8300000,2700000,1
5,0,600000,2300000,4,347,0,1900000,200000,1
3,1,8000000,28800000,10,576,7500000,16300000,11900000,0
0,1,4000000,11000000,8,799,6100000,14700000,4200000,0
1,1,3300000,10800000,2,550,3800000,11000000,4700000,0
2,0,5800000,13300000,4,878,5400000,18600000,4500000,0
3,1,2400000,4800000,12,895,300000,7300000,3300000,0
4,0,7600000,29700000,6,603,2900000,27800000,11000000,0
2,1,2500000,6900000,12,325,1600000,6400000,3600000,1
2,0,3300000,11800000,4,393,3700000,6800000,2600000,0
3,0,9800000,30300000,2,612,4600000,32100000,5600000,0
0,1,1000000,3800000,8,553,1000000,2100000,1300000,0
0,1,2500000,8800000,14,389,1400000,8500000,3600000,1
0,0,1900000,6800000,4,782,3400000,4900000,2400000,0
3,0,3100000,8500000,12,493,5100000,12000000,2000000,1
5,1,6000000,11900000,2,629,0,19200000,4200000,0
5,0,6500000,21600000,10,419,10900000,22300000,6600000,1
2,1,5900000,15800000,2,444,4300000,20300000,5500000,1
5,1,6500000,15800000,16,301,9900000,17400000,7100000,1
0,1,3800000,11200000,20,479,6400000,12000000,5400000,1
3,1,3000000,11400000,10,424,4200000,10900000,1500000,1
0,0,4300000,16900000,18,469,5800000,12000000,6200000,1
4,1,3500000,8300000,2,897,5500000,12600000,1800000,0
3,0,300000,500000,2,477,200000,800000,400000,1
3,1,600000,1400000,16,509,300000,2400000,900000,1
0,1,800000,1700000,4,752,1100000,3200000,400000,0
0,1,5600000,19100000,14,875,4700000,15100000,7700000,0
2,1,1800000,3600000,4,343,1100000,6200000,1500000,1
0,0,6800000,20800000,20,819,11900000,26700000,8000000,0
2,1,4200000,16800000,2,433,0,14100000,3700000,0
1,1,200000,400000,6,768,100000,600000,0,0
2,1,8500000,31800000,6,714,900000,26600000,5600000,0
2,1,2800000,10100000,16,531,2900000,7200000,4100000,1
0,1,3600000,8600000,6,529,3300000,11300000,5200000,1
1,0,6200000,19500000,20,448,7100000,22400000,8000000,1
1,0,2700000,10000000,2,584,2700000,7700000,3400000,0
1,0,6800000,22900000,4,501,9400000,17300000,4400000,0
2,0,6300000,24500000,18,848,3500000,18200000,8200000,0
4,0,8800000,19100000,6,586,8800000,20600000,12400000,0
1,0,5900000,13000000,2,386,5000000,12000000,3800000,1
5,1,9800000,37900000,18,301,4900000,34300000,6200000,1
2,0,3300000,8300000,6,653,3100000,8300000,4600000,0
4,1,300000,500000,14,448,100000,800000,100000,1
1,1,4800000,11600000,16,696,9400000,11800000,6500000,0
1,0,7500000,28300000,16,707,1100000,16300000,6700000,0
2,0,8600000,21700000,4,429,10800000,30900000,6000000,1
4,0,8900000,21100000,6,631,200000,25800000,6200000,0
5,1,9600000,29600000,4,446,3500000,36600000,13200000,0
0,1,7700000,18100000,18,705,5100000,23800000,6300000,0
3,1,7000000,15200000,2,709,12500000,20700000,4000000,0
4,1,7800000,19500000,14,739,9000000,20400000,4400000,0
3,0,5100000,11000000,6,336,5800000,11600000,7500000,1
4,0,9400000,32600000,4,898,4000000,22000000,10200000,0
4,1,600000,2100000,6,558,1000000,2200000,300000,0
3,0,5100000,13300000,4,589,2700000,20200000,6100000,0
2,1,3800000,14400000,2,301,1400000,7600000,2400000,1
2,1,5300000,21200000,14,516,5000000,20900000,7700000,1
5,0,1100000,3600000,12,315,700000,3100000,1400000,1
3,0,6400000,14400000,10,546,10000000,21200000,5100000,1
0,1,5100000,14500000,14,559,1100000,12300000,6000000,0
3,1,5300000,16900000,2,350,3100000,14300000,6800000,0
1,0,6700000,18700000,8,583,4100000,17100000,6900000,0
2,0,4000000,9400000,8,874,3700000,10200000,4800000,0
2,1,3900000,11600000,8,808,3100000,12900000,5000000,0
1,1,1600000,4900000,16,487,1100000,3900000,2000000,1
3,0,2700000,7800000,14,870,5300000,5700000,2100000,0
3,0,1400000,3800000,8,840,200000,5300000,1500000,0
4,1,8000000,19200000,18,682,8900000,19000000,5300000,0
3,1,8200000,28900000,10,668,4500000,28700000,10900000,0
5,1,4800000,10300000,8,781,6800000,11100000,4300000,0
4,0,8100000,19000000,6,375,14500000,19100000,11900000,1
4,0,5900000,14900000,14,857,9500000,16000000,3500000,0
5,1,8100000,32100000,6,823,1800000,24100000,6500000,0
0,0,1400000,5000000,8,686,1900000,3200000,1500000,0
1,0,1600000,6300000,2,721,600000,5200000,900000,0
4,0,4600000,9400000,18,545,2400000,11500000,6300000,1
1,0,2900000,8900000,6,523,5600000,9700000,1800000,1
2,1,8600000,24900000,20,607,7600000,31800000,5400000,0
4,0,3800000,14900000,20,428,3500000,12200000,2500000,1
0,0,8200000,20300000,4,666,10200000,25900000,7800000,0
3,0,3200000,10100000,20,704,4800000,9000000,3900000,0
0,1,8100000,23800000,10,794,15500000,20700000,8800000,0
1,1,9800000,23300000,12,430,12600000,30500000,13900000,1
0,0,200000,500000,20,615,200000,600000,200000,0
0,0,6600000,14100000,20,360,5100000,25400000,7800000,1
0,0,9100000,18300000,14,458,9200000,34100000,10000000,1
2,0,5500000,20400000,12,887,9400000,12300000,3300000,0
4,0,7200000,27400000,8,735,14200000,19400000,9500000,0
1,0,2400000,5600000,16,379,600000,7200000,3400000,1
4,0,9600000,25500000,20,544,11400000,23800000,11100000,1
1,1,5800000,16700000,12,721,9700000,17200000,7500000,0
4,0,2300000,6000000,8,676,400000,4800000,2200000,0
1,0,300000,1200000,4,342,100000,1100000,200000,0
0,0,9900000,27000000,16,566,17300000,36900000,11500000,0
2,0,3500000,14000000,2,355,1600000,11800000,2900000,0
2,0,4800000,18500000,20,605,5500000,14700000,5800000,0
2,0,1600000,5200000,16,525,2900000,5600000,1600000,1
5,1,800000,2500000,12,403,0,3200000,800000,1
1,1,9000000,33500000,18,727,10500000,28100000,5300000,0
1,0,8300000,28900000,12,529,3900000,32500000,5800000,1
4,0,2800000,6100000,18,415,4200000,8400000,2000000,1
1,1,6400000,17300000,10,879,1100000,15400000,8200000,0
2,1,6000000,12600000,16,649,5300000,23900000,5100000,0
0,0,2900000,9800000,16,395,4300000,8600000,2400000,1
0,0,6500000,24100000,20,488,6000000,22900000,9700000,1
1,1,200000,400000,8,569,200000,700000,300000,0
1,0,8400000,24600000,14,817,13100000,31300000,8200000,0
1,1,6100000,17800000,20,706,10900000,16900000,4300000,0
2,1,8000000,31200000,8,553,3500000,21000000,10300000,0
5,1,900000,1800000,14,464,300000,1800000,700000,1
2,0,7300000,20000000,6,729,10700000,17900000,9100000,0
4,1,3700000,7400000,12,363,6800000,10500000,4400000,1
2,0,5200000,17200000,12,565,1300000,20000000,6300000,0
1,0,7200000,21000000,14,421,11600000,21800000,4600000,1
0,1,9400000,34200000,10,512,15600000,32600000,6300000,1
3,1,3400000,12400000,2,730,3900000,12200000,4600000,0
0,0,600000,2300000,8,627,500000,2200000,300000,0
0,1,3300000,10000000,16,434,4100000,12900000,4100000,1
2,1,5900000,14300000,2,410,4400000,16900000,4100000,1
3,0,1300000,3600000,16,624,2300000,3300000,1900000,0
4,1,5700000,16900000,4,656,7400000,22000000,8400000,0
2,0,7700000,27300000,16,758,4600000,24800000,9100000,0
4,1,7000000,23500000,18,336,9500000,19700000,7800000,1
5,0,8100000,21900000,18,378,3400000,16200000,9600000,1
1,1,1900000,4200000,4,620,2800000,7500000,900000,0
2,0,4500000,9100000,18,593,600000,12400000,2500000,0
0,1,9600000,34000000,12,710,10300000,38100000,7800000,0
1,1,5400000,20700000,8,753,800000,19000000,3600000,0
1,1,7800000,27200000,16,454,3400000,17100000,11400000,1
1,1,8200000,19100000,8,619,12200000,31500000,6600000,0
2,0,8900000,28500000,6,367,16600000,21500000,9300000,1
1,0,1400000,3100000,20,384,1200000,4200000,1800000,1
2,0,1700000,5900000,16,610,300000,3700000,1300000,0
0,0,5300000,19500000,12,802,3300000,15200000,3200000,0
3,0,6500000,25200000,10,858,10900000,14000000,8100000,0
2,0,5900000,14000000,8,599,9500000,17800000,6700000,0
4,1,9800000,27000000,2,395,3000000,23000000,9700000,1
3,1,7700000,16200000,6,380,15100000,22500000,6400000,1
1,0,7900000,27100000,10,803,9800000,22200000,6600000,0
4,0,3500000,8900000,20,809,1500000,13700000,3200000,0
4,0,2400000,6600000,2,722,3300000,5600000,3000000,0
5,0,9900000,35700000,10,392,4300000,39200000,13000000,1
0,0,3900000,14500000,8,545,3000000,10300000,3400000,1
2,1,7300000,28500000,10,799,3100000,15800000,4300000,0
0,1,6400000,21900000,12,727,10100000,24000000,5300000,0
4,0,7100000,19800000,18,530,3400000,20900000,7100000,1
2,0,8800000,19000000,14,637,13900000,27100000,6100000,0
5,0,7400000,21000000,4,561,3800000,26400000,3900000,0
2,0,4400000,12000000,20,421,2700000,15700000,3400000,1
3,1,8600000,30300000,14,459,4100000,23800000,9100000,1
3,0,6900000,26000000,14,828,4200000,18500000,3600000,0
4,0,9600000,27500000,20,679,7500000,37800000,6300000,0
2,1,8100000,25700000,8,455,11500000,19800000,9500000,1
0,0,2600000,9400000,18,879,1400000,5100000,2300000,0
3,1,9300000,26100000,14,636,16100000,34500000,11600000,0
2,1,2100000,5600000,16,426,300000,7100000,1200000,1
4,1,9000000,21500000,14,508,17300000,24300000,13100000,1
3,1,7000000,19200000,4,768,13700000,19200000,7700000,0
3,0,2200000,6400000,20,667,3900000,8300000,2900000,0
5,1,7500000,28200000,2,440,5800000,24400000,6000000,0
1,1,8300000,16800000,2,366,6600000,27300000,4500000,1
2,0,300000,600000,2,383,300000,1100000,400000,1
0,1,300000,800000,4,603,200000,600000,200000,0
3,0,3900000,14900000,4,728,4000000,14900000,5500000,0
0,0,6600000,20300000,6,549,900000,23100000,9800000,1
0,0,4100000,10700000,8,855,700000,11200000,3100000,0
5,1,1800000,5300000,12,461,2000000,4700000,2000000,1
3,1,7000000,16100000,16,379,5200000,23000000,10000000,1
2,1,5100000,13700000,6,559,9800000,12700000,5100000,0
1,1,300000,600000,8,816,300000,1100000,200000,0
4,1,4300000,11400000,2,560,3900000,8900000,3300000,0
0,1,3200000,12000000,14,645,1400000,12100000,3400000,0
4,1,4200000,11500000,6,551,7600000,11300000,5000000,0
0,1,9600000,22900000,8,515,14700000,33300000,7800000,1
4,0,1300000,3600000,10,657,1900000,2900000,1100000,0
3,0,2400000,9300000,2,682,4400000,5200000,1500000,0
0,0,600000,1600000,10,588,100000,1100000,300000,0
5,1,9600000,38000000,10,359,13600000,38200000,9400000,1
0,0,400000,1200000,4,766,300000,1200000,300000,0
4,0,5900000,19900000,14,469,6800000,22100000,3200000,1
0,1,700000,1400000,10,618,200000,1700000,500000,0
0,1,8600000,17700000,20,711,0,30800000,7400000,0
0,1,9000000,34000000,4,549,8900000,20000000,12400000,0
3,1,5100000,20400000,6,754,2600000,11800000,7600000,0
4,1,500000,1500000,6,461,500000,1700000,200000,1
2,0,1600000,3800000,10,837,1100000,5500000,1600000,0
0,1,9800000,23900000,14,459,13400000,21100000,7200000,1
4,0,7800000,29700000,20,614,700000,26800000,6300000,0
4,0,6500000,24000000,16,373,5100000,15600000,6700000,1
5,1,7500000,26500000,12,512,2900000,23700000,6000000,1
4,1,8900000,23400000,18,781,3100000,24900000,5800000,0
4,1,1800000,5800000,14,305,3300000,3600000,2000000,1
1,1,7600000,27800000,6,447,700000,20100000,10900000,1
4,1,1200000,4600000,6,757,200000,4800000,1500000,0
5,1,2700000,10400000,2,723,700000,10300000,1400000,0
1,1,4600000,10900000,12,463,1200000,10900000,6600000,1
2,0,6900000,18700000,10,699,5700000,21200000,5200000,0
4,1,8400000,25200000,2,308,9300000,27700000,10500000,0
0,0,300000,500000,18,702,400000,1200000,100000,0
2,1,9500000,37500000,4,456,16800000,34100000,12900000,0
3,1,1900000,5900000,8,651,2100000,6200000,1500000,0
3,0,4200000,14500000,20,840,5900000,8900000,4600000,0
4,1,2200000,7900000,18,848,1700000,8500000,1600000,0
5,1,7100000,19700000,4,727,12900000,23600000,5800000,0
4,0,3500000,11600000,10,335,5200000,10300000,2300000,1
5,0,400000,800000,18,304,500000,1400000,400000,1
2,1,8800000,34400000,2,712,12500000,29300000,5900000,0
0,0,1800000,6600000,10,737,2000000,6000000,1500000,0
1,1,7600000,29300000,14,690,4000000,30000000,9100000,0
1,1,1000000,3200000,4,888,1500000,2200000,1300000,0
2,1,8200000,27200000,10,839,6400000,25500000,6000000,0
5,1,3600000,12400000,8,333,1000000,10700000,4000000,1
5,0,9400000,23700000,18,862,3500000,22400000,5600000,0
5,0,2600000,9100000,4,309,1400000,5900000,3400000,0
5,0,9500000,30700000,10,823,3700000,30300000,13100000,0
0,1,3500000,11700000,14,649,700000,11400000,4800000,0
5,1,9800000,35700000,10,726,18900000,31200000,12000000,0
4,0,800000,3100000,18,712,700000,1900000,1100000,0
0,0,9700000,37300000,20,701,16200000,24100000,10500000,0
3,0,6200000,21300000,12,655,11600000,19200000,5000000,0
1,1,4400000,16600000,18,385,5300000,13400000,5100000,1
2,0,1800000,3800000,4,777,2700000,4600000,1400000,0
3,0,1700000,5300000,14,696,700000,4500000,800000,0
3,0,3900000,14100000,16,496,2200000,13700000,2900000,1
2,1,2200000,7900000,6,659,1800000,8600000,2400000,0
3,1,6300000,17700000,2,542,900000,16400000,5300000,1
2,0,2200000,8700000,18,729,3300000,7600000,1300000,0
1,0,8100000,28400000,6,744,10500000,21800000,7700000,0
4,0,6800000,17000000,2,749,3800000,27100000,9400000,0
0,0,4700000,14800000,20,755,5000000,15400000,3700000,0
3,1,2200000,5300000,2,506,1700000,5800000,2800000,1
3,1,3500000,13000000,6,391,3500000,13300000,4300000,1
1,1,3500000,11600000,10,898,2700000,9000000,4500000,0
5,0,500000,1500000,12,527,600000,1100000,200000,1
5,0,9900000,35800000,20,470,18400000,39100000,14700000,1
1,0,8400000,25000000,12,694,14900000,23000000,7700000,0
1,0,5000000,18800000,14,325,5700000,12800000,4300000,1
4,1,5500000,13400000,10,880,800000,19900000,2800000,0
5,1,3000000,11900000,14,459,4800000,11700000,4200000,1
3,1,9400000,21400000,10,323,15500000,29600000,11300000,1
4,0,7600000,29000000,8,739,8100000,22100000,8800000,0
0,1,5500000,16300000,10,724,1500000,11900000,6200000,0
1,0,3100000,7400000,18,487,1200000,9200000,4500000,1
3,0,7700000,27700000,4,439,7500000,27100000,6200000,0
2,0,9800000,25400000,2,655,4600000,21300000,7900000,0
3,0,3200000,9200000,14,443,1100000,7200000,4500000,1
2,0,700000,2600000,20,489,200000,2400000,900000,1
4,1,3100000,8600000,14,427,3800000,9900000,3700000,1
0,1,4500000,10500000,20,417,2000000,9600000,5800000,1
5,1,8900000,24800000,18,842,5000000,20000000,8100000,0
3,0,5900000,23200000,2,307,10000000,21100000,6300000,0
2,0,1500000,4500000,18,428,1200000,5600000,1100000,1
4,1,6300000,15200000,16,415,1800000,20700000,7900000,1
3,1,6500000,18200000,20,405,2800000,21300000,6700000,1
4,0,8000000,31500000,18,683,7900000,30100000,9600000,0
1,1,3300000,10600000,14,742,600000,8400000,4500000,0
4,0,3900000,10000000,10,530,200000,12300000,1900000,1
3,0,1600000,3500000,10,844,2200000,5200000,1600000,0
2,1,3900000,13900000,18,715,5600000,9900000,2100000,0
3,1,8000000,26300000,12,476,6600000,16400000,9000000,1
2,0,2200000,4800000,6,721,100000,6900000,2200000,0
4,0,7600000,30300000,12,339,8000000,22200000,5800000,1
5,1,2700000,6800000,6,461,2000000,8200000,1700000,1
2,1,6300000,23200000,12,556,8300000,24200000,5300000,0
3,0,7700000,18700000,8,483,5600000,24600000,10200000,1
2,0,4500000,17200000,18,406,6300000,13800000,3300000,1
2,1,9400000,24800000,14,513,18200000,37200000,7500000,1
0,0,4600000,12600000,16,574,6200000,15100000,3600000,0
0,1,5200000,15700000,6,692,7000000,12800000,5500000,0
5,1,8000000,29800000,18,867,14100000,22800000,9200000,0
1,1,9900000,38500000,2,875,2900000,20200000,6500000,0
4,1,8500000,18600000,10,597,3200000,21000000,11600000,0
2,1,4900000,12000000,20,513,8100000,18300000,4800000,1
3,1,7000000,24200000,2,354,7000000,15900000,7900000,0
2,0,9600000,25900000,18,647,9900000,35600000,11500000,0
1,0,9700000,23700000,6,875,14400000,38100000,10400000,0
1,0,6200000,14300000,20,819,11700000,16700000,4300000,0
4,1,4100000,9600000,10,521,7100000,14100000,4900000,1
0,1,6100000,19900000,20,761,3700000,12700000,7100000,0
0,0,700000,1900000,18,572,1000000,2000000,300000,0
3,0,6400000,24100000,12,571,11500000,13200000,7500000,0
4,1,3800000,7800000,20,891,7000000,14300000,3300000,0
1,0,4900000,14800000,12,895,8200000,18300000,5200000,0
2,0,2100000,6600000,20,580,4100000,6200000,2100000,0
2,0,6200000,23400000,8,605,10800000,21800000,9200000,0
4,0,1600000,5100000,8,705,800000,5100000,1900000,0
1,1,1300000,5000000,20,423,800000,3900000,1600000,1
5,1,7300000,22500000,2,846,4700000,20300000,5700000,0
2,0,2100000,5000000,4,542,600000,6600000,3100000,1
5,0,600000,2400000,18,631,300000,2100000,900000,0
4,0,7000000,24500000,18,318,1700000,16300000,3600000,1
1,1,3000000,6800000,10,541,5700000,10700000,2900000,1
1,0,900000,2900000,20,782,1500000,3500000,800000,0
2,0,9600000,35000000,2,888,6500000,37900000,5800000,0
0,0,1500000,3600000,14,747,1400000,3000000,1200000,0
0,1,5000000,18900000,6,641,8500000,19600000,6700000,0
3,1,500000,1700000,4,640,700000,1300000,200000,0
4,0,7600000,28100000,12,324,8500000,19900000,11100000,1
4,0,5500000,21200000,20,359,5300000,18600000,6400000,1
0,1,6600000,23300000,12,338,800000,18900000,9300000,1
0,0,1400000,3200000,14,384,800000,3400000,2000000,1
5,1,8800000,26600000,16,545,16600000,30400000,7600000,1
5,0,6200000,24200000,18,610,7800000,19600000,8300000,0
2,1,8300000,27900000,18,840,3500000,19100000,9200000,0
3,0,2400000,8100000,6,630,2900000,9100000,2300000,0
1,0,9100000,31200000,4,508,11700000,31100000,7800000,0
0,1,9500000,34900000,4,535,14100000,25600000,14000000,0
1,0,1200000,3400000,20,717,1500000,2500000,900000,0
2,1,7700000,19300000,8,735,1900000,23800000,10400000,0
5,1,7800000,22000000,20,528,8800000,24700000,4900000,1
0,1,9400000,20000000,4,350,1400000,37200000,4700000,1
0,0,1700000,5700000,12,422,1100000,6500000,900000,1
5,0,4000000,13700000,6,496,1400000,15800000,3700000,1
4,0,4200000,15500000,18,794,700000,13400000,2200000,0
2,0,2400000,7700000,6,719,1700000,6700000,1600000,0
3,1,2700000,6100000,14,630,2800000,10600000,2300000,0
3,1,600000,1800000,4,843,300000,1700000,400000,0
2,0,4600000,15600000,2,764,1500000,16000000,5800000,0
3,0,7200000,17700000,4,662,11500000,16300000,5300000,0
0,0,4700000,15500000,16,311,200000,17500000,2700000,1
4,0,4300000,10100000,2,606,1800000,8900000,5500000,0
5,0,4700000,10200000,16,874,7700000,11100000,7000000,0
4,1,8700000,30000000,4,370,15600000,34600000,12100000,0
1,0,7000000,20500000,10,414,7500000,20700000,5100000,1
2,0,600000,1100000,10,800,200000,2300000,900000,0
1,0,6800000,16900000,12,779,10200000,23400000,4400000,0
1,0,6400000,14100000,20,553,4500000,20000000,3600000,0
4,0,7600000,29900000,18,445,13900000,18400000,5700000,1
3,0,9000000,21400000,8,496,7300000,31800000,12500000,1
0,1,2400000,5900000,10,650,3700000,5300000,2300000,0
3,0,6800000,17900000,6,783,9800000,23600000,5500000,0
5,1,3500000,13500000,10,535,5700000,12500000,3100000,1
4,1,8900000,34000000,20,415,3100000,33600000,12800000,1
0,0,6000000,15300000,8,709,1700000,16400000,3500000,0
3,0,700000,2500000,14,819,1000000,2100000,900000,0
0,1,6800000,17300000,18,841,8600000,16000000,8700000,0
4,1,5300000,10700000,12,700,1900000,20500000,2900000,0
1,1,1400000,4200000,4,881,1200000,5100000,1300000,0
2,1,1400000,4600000,4,804,2200000,5200000,700000,0
4,0,9200000,21700000,6,653,4600000,29400000,8600000,0
1,1,7900000,29200000,2,663,12100000,28600000,10100000,0
0,0,4500000,17500000,10,495,3500000,9700000,6200000,1
1,0,3800000,9800000,8,335,5100000,14200000,1800000,1
5,1,1500000,4900000,6,618,1000000,3200000,900000,0
3,0,1200000,2400000,12,480,100000,3100000,1700000,1
4,0,1700000,4900000,18,843,2200000,6200000,1800000,0
4,0,5200000,14100000,16,483,800000,19200000,2700000,1
1,0,1600000,5100000,12,548,2700000,3600000,800000,1
4,1,6600000,16000000,16,379,12600000,24700000,4500000,1
5,1,9400000,26600000,20,771,12600000,36900000,11700000,0
4,1,300000,500000,2,353,100000,1200000,400000,1
5,0,4600000,11500000,16,668,3100000,10200000,5500000,0
3,1,6100000,21300000,2,387,3100000,16300000,4100000,0
0,1,1500000,4100000,12,789,1600000,5800000,1300000,0
0,1,400000,900000,2,855,500000,1300000,400000,0
0,0,8700000,33600000,14,751,13700000,22800000,7000000,0
3,0,7000000,21600000,12,739,7600000,24500000,8400000,0
4,0,4700000,13100000,14,492,4500000,14100000,6400000,1
4,1,7600000,23800000,16,896,4500000,15400000,6400000,0
1,1,9200000,24500000,4,545,0,20600000,13300000,1
5,0,9400000,36800000,20,891,16600000,19300000,8900000,0
0,0,4800000,15100000,6,848,300000,18800000,3500000,0
3,1,600000,2400000,12,884,800000,1400000,600000,0
3,1,4900000,14300000,14,439,5600000,17400000,5100000,1
3,1,3300000,8500000,12,586,5100000,7800000,3900000,0
3,1,9100000,18800000,20,308,10200000,20500000,4800000,1
5,0,6100000,23500000,16,300,700000,22800000,4800000,1
3,1,8400000,19600000,2,741,200000,18700000,8300000,0
4,0,7900000,31400000,8,698,11400000,28700000,5100000,0
2,1,6100000,22300000,10,733,9700000,17200000,5600000,0
3,1,2000000,4200000,16,571,3900000,5800000,1300000,0
